"issue id","create time","who create","kind of trouble","name off issue","issue description","how to reproduce","note","expectaion","current statuz","prio lvl"
"Q-0001","12/27/2025 6:30 PM","Amelia","export","Quick action opens wrong panel","Looks random at first but appears around same part of the flow. Happened more than once this week and different people confirmed it.","Create a new entry; add short note; submit; refresh browser; check recent list.","Might be linked to old data still cached somewhere.","List and report totals should stay consistent after refresh.","new","high"
"Q-0002","31-Jan-2026 18:07","Liam","reporting","History line missing for recent update","Issue is small on paper but causes confusion for most users. Happened more than once this week and different people confirmed it.","Login as normal user; visit summary area; switch tabs twice; come back to first tab.","No screenshot yet, need to capture next time.","Action should complete in a reasonable time without long waiting.","need check","urgent"
"Q-0003","20-Nov-2025 21:25","Charlotte","permission","Page takes forever before showing anything","Issue is small on paper but causes confusion for most users. Looks random at first but appears around same part of the flow.","Go to history section; change date filter; press apply; export then re-open page.","Happens mostly in afternoon according to support desk.","When button says done, data should actually be done and visible.","need check","urgent"
"Q-0004","2025-11-19 12:34","Jack","dashboard","Button says saved but nothing was saved","Customer-facing team reported complaints from multiple accounts. Issue is small on paper but causes confusion for most users.","Go to history section; change date filter; press apply; export then re-open page.","Happens mostly in afternoon according to support desk.","After saving, user should always see the same updated value immediately.","retest later","normal"
"Q-0005","11/01/2025 5:09 AM","Charlotte","permission","Cannot finish steps after adding note","Looks random at first but appears around same part of the flow. Observed during normal daily checking with no special setup.","Login as normal user; visit summary area; switch tabs twice; come back to first tab.","Happens mostly in afternoon according to support desk.","When button says done, data should actually be done and visible.","open","low"
"Q-0006","2025-11-24 10:30","Mason","search","Old info still shown after edit","Issue is small on paper but causes confusion for most users. Issue is small on paper but causes confusion for most users.","From dashboard click quick add; cancel once; do it again; finish and check result.","Might be linked to old data still cached somewhere.","Users should only see their own permitted information.","new","high"
"Q-0007","12/15/2025 4:11 AM","Benjamin","search","Old info still shown after edit","Looks random at first but appears around same part of the flow. Looks random at first but appears around same part of the flow.","Use search with simple word; open first result; edit title; return to list view.","Could be related to timing but not sure.","List and report totals should stay consistent after refresh.","watching","normal"
"Q-0008","11/08/2025 2:20 AM","Lucas","usability","People can see things they should not see","Looks random at first but appears around same part of the flow. Noticed right before handoff and blocked the work for a while.","Open main page; pick any active record; update one field; click save; go back and reopen.","Happens mostly in afternoon according to support desk.","List and report totals should stay consistent after refresh.","retest later","urgent"
"Q-0009","23-Nov-2025 03:01","Emma","export","Page takes forever before showing anything","Issue is small on paper but causes confusion for most users. Noticed right before handoff and blocked the work for a while.","Go to history section; change date filter; press apply; export then re-open page.","Could be related to timing but not sure.","After saving, user should always see the same updated value immediately.","open","urgent"
"Q-0010","13-Dec-2025 00:49","Sophia","dashboard","History line missing for recent update","Noticed right before handoff and blocked the work for a while. Looks random at first but appears around same part of the flow.","Login as normal user; visit summary area; switch tabs twice; come back to first tab.","No screenshot yet, need to capture next time.","When button says done, data should actually be done and visible.","need check","low"
"Q-0011","12/12/2025 6:12 AM","Henry","profile","Quick action opens wrong panel","Issue is small on paper but causes confusion for most users. Customer-facing team reported complaints from multiple accounts.","Create a new entry; add short note; submit; refresh browser; check recent list.","Only some teammates can reproduce this every time.","Users should only see their own permitted information.","retest later","urgent"
"Q-0012","12/25/2025 3:55 PM","Liam","notification","Report total changes after refresh","Issue is small on paper but causes confusion for most users. Customer-facing team reported complaints from multiple accounts.","Use search with simple word; open first result; edit title; return to list view.","Customer called it ""unreliable"" in feedback.","Users should only see their own permitted information.","watching","urgent"
"Q-0013","11/22/2025 12:50 AM","Evelyn","reporting","Page takes forever before showing anything","Noticed right before handoff and blocked the work for a while. Happened more than once this week and different people confirmed it.","Create a new entry; add short note; submit; refresh browser; check recent list.","No screenshot yet, need to capture next time.","After saving, user should always see the same updated value immediately.","retest later","high"
"Q-0014","2025-12-04 17:16","Charlotte","usability","Numbers are not matching on weekly sheet","Noticed right before handoff and blocked the work for a while. Issue is small on paper but causes confusion for most users.","Go to history section; change date filter; press apply; export then re-open page.","Could be related to timing but not sure.","When button says done, data should actually be done and visible.","retest later","low"
"Q-0015","12/11/2025 9:29 AM","Charlotte","profile","Cannot finish steps after adding note","Noticed right before handoff and blocked the work for a while. Issue is small on paper but causes confusion for most users.","Create a new entry; add short note; submit; refresh browser; check recent list.","Happens mostly in afternoon according to support desk.","After saving, user should always see the same updated value immediately.","need check","low"
"Q-0016","2025-11-13 00:53","Lucas","permission","Report total changes after refresh","Observed during normal daily checking with no special setup. Looks random at first but appears around same part of the flow.","Open main page; pick any active record; update one field; click save; go back and reopen.","No screenshot yet, need to capture next time.","Messages should clearly tell people what happened and what to do next.","open","urgent"
"Q-0017","16-Feb-2026 07:32","James","accuracy","Screen jumps back to top by itself","Customer-facing team reported complaints from multiple accounts. Looks random at first but appears around same part of the flow.","Use search with simple word; open first result; edit title; return to list view.","Only some teammates can reproduce this every time.","When button says done, data should actually be done and visible.","open","normal"
"Q-0018","01/21/2026 5:18 AM","Mia","accuracy","Button says saved but nothing was saved","Observed during normal daily checking with no special setup. Observed during normal daily checking with no special setup.","Create a new entry; add short note; submit; refresh browser; check recent list.","Customer called it ""unreliable"" in feedback.","Action should complete in a reasonable time without long waiting.","new","high"
"Q-0019","29-Dec-2025 11:14","Evelyn","latency","One user got another user summary","Customer-facing team reported complaints from multiple accounts. Happened more than once this week and different people confirmed it.","Login as normal user; visit summary area; switch tabs twice; come back to first tab.","Might be linked to old data still cached somewhere.","After saving, user should always see the same updated value immediately.","retest later","normal"
"Q-0020","2026-02-15 00:41","Mia","mobile view","Button says saved but nothing was saved","Issue is small on paper but causes confusion for most users. Looks random at first but appears around same part of the flow.","From dashboard click quick add; cancel once; do it again; finish and check result.","No screenshot yet, need to capture next time.","After saving, user should always see the same updated value immediately.","need check","urgent"
"Q-0021","11-Nov-2025 10:25","Emma","usability","Button says saved but nothing was saved","Issue is small on paper but causes confusion for most users. Customer-facing team reported complaints from multiple accounts.","Use search with simple word; open first result; edit title; return to list view.","Happens mostly in afternoon according to support desk.","After saving, user should always see the same updated value immediately.","open","high"
"Q-0022","28-Dec-2025 18:27","James","checkout","Quick action opens wrong panel","Observed during normal daily checking with no special setup. Observed during normal daily checking with no special setup.","Use search with simple word; open first result; edit title; return to list view.","Happens mostly in afternoon according to support desk.","When button says done, data should actually be done and visible.","watching","urgent"
"Q-0023","11/13/2025 11:18 PM","Harper","search","Cannot finish steps after adding note","Looks random at first but appears around same part of the flow. Customer-facing team reported complaints from multiple accounts.","Open main page; pick any active record; update one field; click save; go back and reopen.","Happens mostly in afternoon according to support desk.","List and report totals should stay consistent after refresh.","open","urgent"
"Q-0024","11/09/2025 10:58 PM","Mia","mobile view","Old info still shown after edit","Issue is small on paper but causes confusion for most users. Issue is small on paper but causes confusion for most users.","Go to history section; change date filter; press apply; export then re-open page.","Only some teammates can reproduce this every time.","Users should only see their own permitted information.","retest later","urgent"
"Q-0025","29-Dec-2025 12:04","James","permission","Button says saved but nothing was saved","Happened more than once this week and different people confirmed it. Noticed right before handoff and blocked the work for a while.","Use search with simple word; open first result; edit title; return to list view.","Customer called it ""unreliable"" in feedback.","When button says done, data should actually be done and visible.","need check","normal"
"Q-0026","02/15/2026 2:54 AM","Harper","reporting","Old info still shown after edit","Noticed right before handoff and blocked the work for a while. Noticed right before handoff and blocked the work for a while.","Open main page; pick any active record; update one field; click save; go back and reopen.","Only some teammates can reproduce this every time.","When button says done, data should actually be done and visible.","open","normal"
"Q-0027","2026-01-30 15:16","Sophia","export","Page takes forever before showing anything","Noticed right before handoff and blocked the work for a while. Happened more than once this week and different people confirmed it.","Use search with simple word; open first result; edit title; return to list view.","Could be related to timing but not sure.","Messages should clearly tell people what happened and what to do next.","new","normal"
"Q-0028","11/02/2025 6:35 PM","Mia","notification","Cannot finish steps after adding note","Happened more than once this week and different people confirmed it. Happened more than once this week and different people confirmed it.","Use search with simple word; open first result; edit title; return to list view.","Could be related to timing but not sure.","After saving, user should always see the same updated value immediately.","watching","high"
"Q-0029","2025-12-02 00:51","Emma","profile","Report total changes after refresh","Customer-facing team reported complaints from multiple accounts. Observed during normal daily checking with no special setup.","From dashboard click quick add; cancel once; do it again; finish and check result.","Customer called it ""unreliable"" in feedback.","List and report totals should stay consistent after refresh.","retest later","low"
"Q-0030","2026-01-28 09:39","Ava","feature","Report total changes after refresh","Noticed right before handoff and blocked the work for a while. Customer-facing team reported complaints from multiple accounts.","Login as normal user; visit summary area; switch tabs twice; come back to first tab.","Customer called it ""unreliable"" in feedback.","List and report totals should stay consistent after refresh.","need check","low"
"Q-0031","2026-01-10 10:28","Harper","accuracy","Sometimes wrong item appears in the list","Looks random at first but appears around same part of the flow. Customer-facing team reported complaints from multiple accounts.","Open main page; pick any active record; update one field; click save; go back and reopen.","No screenshot yet, need to capture next time.","Messages should clearly tell people what happened and what to do next.","watching","urgent"
"Q-0032","01-Feb-2026 00:32","Amelia","profile","Download file name is weird and unclear","Customer-facing team reported complaints from multiple accounts. Issue is small on paper but causes confusion for most users.","Create a new entry; add short note; submit; refresh browser; check recent list.","Might be linked to old data still cached somewhere.","List and report totals should stay consistent after refresh.","watching","low"
"Q-0033","21-Feb-2026 20:04","Henry","reporting","Sometimes wrong item appears in the list","Customer-facing team reported complaints from multiple accounts. Issue is small on paper but causes confusion for most users.","Open main page; pick any active record; update one field; click save; go back and reopen.","Only some teammates can reproduce this every time.","Action should complete in a reasonable time without long waiting.","retest later","urgent"
"Q-0034","12-Jan-2026 09:44","Jack","export","People can see things they should not see","Observed during normal daily checking with no special setup. Looks random at first but appears around same part of the flow.","Use search with simple word; open first result; edit title; return to list view.","Might be linked to old data still cached somewhere.","After saving, user should always see the same updated value immediately.","retest later","urgent"
"Q-0035","05-Jan-2026 02:25","Amelia","profile","History line missing for recent update","Observed during normal daily checking with no special setup. Happened more than once this week and different people confirmed it.","Use search with simple word; open first result; edit title; return to list view.","Could be related to timing but not sure.","Action should complete in a reasonable time without long waiting.","open","high"
"Q-0036","02/02/2026 3:07 PM","Isabella","notification","Page takes forever before showing anything","Happened more than once this week and different people confirmed it. Looks random at first but appears around same part of the flow.","Go to history section; change date filter; press apply; export then re-open page.","Only some teammates can reproduce this every time.","When button says done, data should actually be done and visible.","retest later","low"
"Q-0037","16-Jan-2026 17:43","Jack","export","Error message is too vague for users","Happened more than once this week and different people confirmed it. Noticed right before handoff and blocked the work for a while.","Use search with simple word; open first result; edit title; return to list view.","Happens mostly in afternoon according to support desk.","List and report totals should stay consistent after refresh.","open","normal"
"Q-0038","2025-12-03 02:59","Noah","dashboard","One user got another user summary","Looks random at first but appears around same part of the flow. Customer-facing team reported complaints from multiple accounts.","From dashboard click quick add; cancel once; do it again; finish and check result.","Might be linked to old data still cached somewhere.","Messages should clearly tell people what happened and what to do next.","need check","low"
"Q-0039","12-Dec-2025 22:38","Evelyn","search","Cannot finish steps after adding note","Customer-facing team reported complaints from multiple accounts. Happened more than once this week and different people confirmed it.","Go to history section; change date filter; press apply; export then re-open page.","Only some teammates can reproduce this every time.","When button says done, data should actually be done and visible.","retest later","low"
"Q-0040","09-Dec-2025 15:06","Sophia","usability","Old info still shown after edit","Happened more than once this week and different people confirmed it. Observed during normal daily checking with no special setup.","Go to history section; change date filter; press apply; export then re-open page.","Might be linked to old data still cached somewhere.","When button says done, data should actually be done and visible.","open","urgent"
"Q-0041","2025-12-19 04:28","Emma","dashboard","Download file name is weird and unclear","Looks random at first but appears around same part of the flow. Observed during normal daily checking with no special setup.","Create a new entry; add short note; submit; refresh browser; check recent list.","Might be linked to old data still cached somewhere.","Action should complete in a reasonable time without long waiting.","watching","high"
"Q-0042","2026-02-25 01:31","Mia","notification","Page takes forever before showing anything","Customer-facing team reported complaints from multiple accounts. Issue is small on paper but causes confusion for most users.","Use search with simple word; open first result; edit title; return to list view.","Might be linked to old data still cached somewhere.","After saving, user should always see the same updated value immediately.","need check","urgent"
"Q-0043","2025-12-03 15:20","Emma","checkout","Sometimes wrong item appears in the list","Looks random at first but appears around same part of the flow. Happened more than once this week and different people confirmed it.","From dashboard click quick add; cancel once; do it again; finish and check result.","Customer called it ""unreliable"" in feedback.","When button says done, data should actually be done and visible.","new","low"
"Q-0044","20-Feb-2026 18:22","Ava","permission","Button says saved but nothing was saved","Customer-facing team reported complaints from multiple accounts. Noticed right before handoff and blocked the work for a while.","Open main page; pick any active record; update one field; click save; go back and reopen.","Happens mostly in afternoon according to support desk.","After saving, user should always see the same updated value immediately.","open","low"
"Q-0045","11/08/2025 6:28 PM","Henry","checkout","Button says saved but nothing was saved","Looks random at first but appears around same part of the flow. Noticed right before handoff and blocked the work for a while.","Login as normal user; visit summary area; switch tabs twice; come back to first tab.","Customer called it ""unreliable"" in feedback.","Users should only see their own permitted information.","open","normal"
"Q-0046","2026-01-16 19:19","Amelia","feature","Filter looks applied but result is same","Happened more than once this week and different people confirmed it. Looks random at first but appears around same part of the flow.","Login as normal user; visit summary area; switch tabs twice; come back to first tab.","Happens mostly in afternoon according to support desk.","When button says done, data should actually be done and visible.","retest later","low"
"Q-0047","2026-01-27 22:32","Noah","permission","Screen jumps back to top by itself","Customer-facing team reported complaints from multiple accounts. Looks random at first but appears around same part of the flow.","Open main page; pick any active record; update one field; click save; go back and reopen.","Could be related to timing but not sure.","Users should only see their own permitted information.","new","low"
"Q-0048","2026-01-11 03:11","Chloe","feature","Button says saved but nothing was saved","Noticed right before handoff and blocked the work for a while. Happened more than once this week and different people confirmed it.","Use search with simple word; open first result; edit title; return to list view.","Might be linked to old data still cached somewhere.","Users should only see their own permitted information.","retest later","high"
"Q-0049","01/28/2026 4:22 AM","Olivia","dashboard","History line missing for recent update","Observed during normal daily checking with no special setup. Issue is small on paper but causes confusion for most users.","Go to history section; change date filter; press apply; export then re-open page.","Customer called it ""unreliable"" in feedback.","Messages should clearly tell people what happened and what to do next.","need check","high"
"Q-0050","02-Nov-2025 22:01","Noah","permission","Button says saved but nothing was saved","Looks random at first but appears around same part of the flow. Issue is small on paper but causes confusion for most users.","Create a new entry; add short note; submit; refresh browser; check recent list.","Customer called it ""unreliable"" in feedback.","Action should complete in a reasonable time without long waiting.","open","high"
"Q-0051","12/15/2025 11:28 AM","Benjamin","notification","Cannot finish steps after adding note","Noticed right before handoff and blocked the work for a while. Observed during normal daily checking with no special setup.","Open main page; pick any active record; update one field; click save; go back and reopen.","Only some teammates can reproduce this every time.","List and report totals should stay consistent after refresh.","open","high"
"Q-0052","04-Dec-2025 02:53","Benjamin","profile","Download file name is weird and unclear","Noticed right before handoff and blocked the work for a while. Happened more than once this week and different people confirmed it.","Go to history section; change date filter; press apply; export then re-open page.","Might be linked to old data still cached somewhere.","List and report totals should stay consistent after refresh.","watching","normal"
"Q-0053","22-Nov-2025 23:20","Sophia","permission","Sometimes wrong item appears in the list","Noticed right before handoff and blocked the work for a while. Customer-facing team reported complaints from multiple accounts.","Login as normal user; visit summary area; switch tabs twice; come back to first tab.","Only some teammates can reproduce this every time.","Messages should clearly tell people what happened and what to do next.","watching","urgent"
"Q-0054","02/14/2026 2:22 PM","Amelia","security","Quick action opens wrong panel","Looks random at first but appears around same part of the flow. Noticed right before handoff and blocked the work for a while.","From dashboard click quick add; cancel once; do it again; finish and check result.","Only some teammates can reproduce this every time.","List and report totals should stay consistent after refresh.","retest later","normal"
"Q-0055","2026-02-13 00:07","Olivia","accuracy","Quick action opens wrong panel","Looks random at first but appears around same part of the flow. Issue is small on paper but causes confusion for most users.","From dashboard click quick add; cancel once; do it again; finish and check result.","Customer called it ""unreliable"" in feedback.","Action should complete in a reasonable time without long waiting.","open","high"
"Q-0056","2025-12-16 10:35","Evelyn","upload","History line missing for recent update","Customer-facing team reported complaints from multiple accounts. Looks random at first but appears around same part of the flow.","Go to history section; change date filter; press apply; export then re-open page.","Only some teammates can reproduce this every time.","Users should only see their own permitted information.","retest later","urgent"
"Q-0057","02/10/2026 8:38 AM","Isabella","dashboard","One user got another user summary","Customer-facing team reported complaints from multiple accounts. Observed during normal daily checking with no special setup.","Create a new entry; add short note; submit; refresh browser; check recent list.","Could be related to timing but not sure.","Users should only see their own permitted information.","open","high"
"Q-0058","28-Jan-2026 04:49","Lucas","checkout","Error message is too vague for users","Looks random at first but appears around same part of the flow. Noticed right before handoff and blocked the work for a while.","From dashboard click quick add; cancel once; do it again; finish and check result.","Might be linked to old data still cached somewhere.","Users should only see their own permitted information.","watching","urgent"
"Q-0059","18-Feb-2026 18:20","Emma","reporting","Filter looks applied but result is same","Observed during normal daily checking with no special setup. Customer-facing team reported complaints from multiple accounts.","Open main page; pick any active record; update one field; click save; go back and reopen.","No screenshot yet, need to capture next time.","When button says done, data should actually be done and visible.","new","normal"
"Q-0060","2026-01-19 00:10","Amelia","permission","Cannot finish steps after adding note","Observed during normal daily checking with no special setup. Happened more than once this week and different people confirmed it.","From dashboard click quick add; cancel once; do it again; finish and check result.","Only some teammates can reproduce this every time.","After saving, user should always see the same updated value immediately.","open","urgent"
"Q-0061","02/22/2026 4:38 AM","Chloe","notification","Screen jumps back to top by itself","Issue is small on paper but causes confusion for most users. Noticed right before handoff and blocked the work for a while.","Use search with simple word; open first result; edit title; return to list view.","Could be related to timing but not sure.","List and report totals should stay consistent after refresh.","retest later","low"
"Q-0062","2025-11-28 00:35","Olivia","profile","Numbers are not matching on weekly sheet","Noticed right before handoff and blocked the work for a while. Looks random at first but appears around same part of the flow.","Go to history section; change date filter; press apply; export then re-open page.","Customer called it ""unreliable"" in feedback.","Messages should clearly tell people what happened and what to do next.","new","high"
"Q-0063","01/21/2026 3:41 AM","Ava","accuracy","Error message is too vague for users","Noticed right before handoff and blocked the work for a while. Happened more than once this week and different people confirmed it.","Login as normal user; visit summary area; switch tabs twice; come back to first tab.","Happens mostly in afternoon according to support desk.","List and report totals should stay consistent after refresh.","need check","normal"
"Q-0064","2025-12-17 03:26","Elijah","accuracy","Numbers are not matching on weekly sheet","Customer-facing team reported complaints from multiple accounts. Observed during normal daily checking with no special setup.","Login as normal user; visit summary area; switch tabs twice; come back to first tab.","Might be linked to old data still cached somewhere.","Action should complete in a reasonable time without long waiting.","open","urgent"
"Q-0065","2025-11-08 05:37","Sophia","search","Report total changes after refresh","Observed during normal daily checking with no special setup. Happened more than once this week and different people confirmed it.","Use search with simple word; open first result; edit title; return to list view.","Only some teammates can reproduce this every time.","When button says done, data should actually be done and visible.","need check","urgent"
"Q-0066","11/15/2025 2:26 PM","Elijah","reporting","Report total changes after refresh","Noticed right before handoff and blocked the work for a while. Happened more than once this week and different people confirmed it.","Go to history section; change date filter; press apply; export then re-open page.","Might be linked to old data still cached somewhere.","Messages should clearly tell people what happened and what to do next.","open","low"
"Q-0067","02/21/2026 11:22 AM","Emma","reporting","Quick action opens wrong panel","Noticed right before handoff and blocked the work for a while. Looks random at first but appears around same part of the flow.","Go to history section; change date filter; press apply; export then re-open page.","No screenshot yet, need to capture next time.","Action should complete in a reasonable time without long waiting.","new","low"
"Q-0068","18-Feb-2026 16:55","Sophia","profile","Cannot finish steps after adding note","Observed during normal daily checking with no special setup. Issue is small on paper but causes confusion for most users.","Create a new entry; add short note; submit; refresh browser; check recent list.","No screenshot yet, need to capture next time.","After saving, user should always see the same updated value immediately.","open","low"
"Q-0069","01/12/2026 4:32 AM","Elijah","export","Error message is too vague for users","Observed during normal daily checking with no special setup. Looks random at first but appears around same part of the flow.","Create a new entry; add short note; submit; refresh browser; check recent list.","Happens mostly in afternoon according to support desk.","Users should only see their own permitted information.","open","high"
"Q-0070","29-Dec-2025 19:38","James","mobile view","Numbers are not matching on weekly sheet","Happened more than once this week and different people confirmed it. Customer-facing team reported complaints from multiple accounts.","Create a new entry; add short note; submit; refresh browser; check recent list.","Only some teammates can reproduce this every time.","After saving, user should always see the same updated value immediately.","open","urgent"
"Q-0071","11/19/2025 6:49 AM","Olivia","usability","Filter looks applied but result is same","Looks random at first but appears around same part of the flow. Noticed right before handoff and blocked the work for a while.","Open main page; pick any active record; update one field; click save; go back and reopen.","Only some teammates can reproduce this every time.","After saving, user should always see the same updated value immediately.","open","urgent"
"Q-0072","19-Nov-2025 13:50","Charlotte","security","Report total changes after refresh","Looks random at first but appears around same part of the flow. Observed during normal daily checking with no special setup.","Open main page; pick any active record; update one field; click save; go back and reopen.","Could be related to timing but not sure.","Users should only see their own permitted information.","new","normal"
"Q-0073","01/24/2026 8:13 AM","Liam","accuracy","Page takes forever before showing anything","Observed during normal daily checking with no special setup. Looks random at first but appears around same part of the flow.","Login as normal user; visit summary area; switch tabs twice; come back to first tab.","Could be related to timing but not sure.","When button says done, data should actually be done and visible.","watching","low"
"Q-0074","2025-11-03 07:43","Evelyn","mobile view","People can see things they should not see","Observed during normal daily checking with no special setup. Happened more than once this week and different people confirmed it.","Login as normal user; visit summary area; switch tabs twice; come back to first tab.","Could be related to timing but not sure.","Users should only see their own permitted information.","retest later","low"
"Q-0075","24-Nov-2025 18:34","Benjamin","dashboard","History line missing for recent update","Observed during normal daily checking with no special setup. Looks random at first but appears around same part of the flow.","Create a new entry; add short note; submit; refresh browser; check recent list.","Might be linked to old data still cached somewhere.","After saving, user should always see the same updated value immediately.","need check","normal"
"Q-0076","2026-01-20 15:36","Olivia","permission","Old info still shown after edit","Happened more than once this week and different people confirmed it. Happened more than once this week and different people confirmed it.","Login as normal user; visit summary area; switch tabs twice; come back to first tab.","No screenshot yet, need to capture next time.","After saving, user should always see the same updated value immediately.","need check","low"
"Q-0077","02/16/2026 3:23 AM","Harper","latency","History line missing for recent update","Looks random at first but appears around same part of the flow. Observed during normal daily checking with no special setup.","From dashboard click quick add; cancel once; do it again; finish and check result.","Happens mostly in afternoon according to support desk.","Messages should clearly tell people what happened and what to do next.","new","urgent"
"Q-0078","2026-01-10 21:08","Henry","profile","Old info still shown after edit","Customer-facing team reported complaints from multiple accounts. Issue is small on paper but causes confusion for most users.","Open main page; pick any active record; update one field; click save; go back and reopen.","Only some teammates can reproduce this every time.","List and report totals should stay consistent after refresh.","watching","normal"
"Q-0079","27-Feb-2026 15:59","Elijah","latency","History line missing for recent update","Issue is small on paper but causes confusion for most users. Happened more than once this week and different people confirmed it.","From dashboard click quick add; cancel once; do it again; finish and check result.","Only some teammates can reproduce this every time.","Action should complete in a reasonable time without long waiting.","new","high"
"Q-0080","03-Jan-2026 22:13","Noah","reporting","Report total changes after refresh","Observed during normal daily checking with no special setup. Observed during normal daily checking with no special setup.","Open main page; pick any active record; update one field; click save; go back and reopen.","Might be linked to old data still cached somewhere.","List and report totals should stay consistent after refresh.","retest later","normal"
"Q-0081","04-Jan-2026 01:50","Olivia","accuracy","Cannot finish steps after adding note","Happened more than once this week and different people confirmed it. Observed during normal daily checking with no special setup.","Login as normal user; visit summary area; switch tabs twice; come back to first tab.","Could be related to timing but not sure.","After saving, user should always see the same updated value immediately.","need check","high"
