"id??","time create maybe","by who","type maybe","name off issue","what happen","how can see bug","memo / note / etc","want result","state now..","priority??"
"XQ0001","2025/12/30 13:04","Evelyn","Feature","Profile updates are not reflected immediately","Reported by support after user complaints. User angry.","Change date range, export report, reopen page, and compare total counts.","temp fixed then back","Page should respond within acceptable wait time.","backlog maybe","ASAP"
"XQ0002","02-27-2026 10:33 AM","Henry","Security","History item missing after update","Reproduced by multiple team members in separate sessions. Again happened.","Apply filter, open first result, modify title, return to list, and inspect row data.","screenshot none","Page should respond within acceptable wait time.","backlog maybe","M"
"XQ0003","10-23-2025 10:08 AM","Mia","Permissions","Save button confirms but data is not persisted","Reported by support after user complaints. Again happened.","Create a new item, add note, submit, refresh browser, and verify recent activity.","check later","Displayed totals should match exported totals.","open","L"
"XQ0004","09-30-2025 9:56 AM","Isabella","Security","Unauthorized user can view restricted details","Occurs intermittently but with similar interaction pattern. Again happened.","Change date range, export report, reopen page, and compare total counts.","cannot repro always","Page should respond within acceptable wait time.","new","M"
"XQ0005","16.09.2025 18:53","Mia","Search","Incorrect assignee shown on issue detail","Reported by support after user complaints. Looks odd.","Create a new item, add note, submit, refresh browser, and verify recent activity.","screenshot none","Users should only access data within granted permissions.","new","L"
"XQ0006","2025/10/22 08:51","Mia","Notifications","Save button confirms but data is not persisted","Impacts daily workflow and causes user confusion. Team confused.","Apply filter, open first result, modify title, return to list, and inspect row data.","screenshot none","Displayed totals should match exported totals.","open","L"
"XQ0007","2025/09/22 05:17","Sophia","Latency","Profile updates are not reflected immediately","Impacts daily workflow and causes user confusion. Again happened.","Apply filter, open first result, modify title, return to list, and inspect row data.","check later","Displayed totals should match exported totals.","watching","H"
"XQ0008","05.10.2025 14:39","Henry","Profile","Notification appears for wrong recipient","Observed by QA during routine regression checks. Again happened.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","screenshot none","Confirmation message should reflect successful persistence.","???","M"
"XQ0009","12-09-2025 2:56 PM","Chloe","Export","Notification appears for wrong recipient","Impacts daily workflow and causes user confusion. User angry.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","temp fixed then back","Updated values should remain consistent after refresh.","???","M"
"XQ0010","2025/12/06 09:16","Chloe","Dashboard","Dashboard load time is too slow","Impacts daily workflow and causes user confusion. User angry.","Apply filter, open first result, modify title, return to list, and inspect row data.","temp fixed then back","Confirmation message should reflect successful persistence.","???","H"
"XQ0011","18.01.2026 04:24","Charlotte","Accuracy","Dashboard load time is too slow","Reported by support after user complaints. Team confused.","Apply filter, open first result, modify title, return to list, and inspect row data.","screenshot none","Displayed totals should match exported totals.","???","L"
"XQ0012","03.10.2025 00:47","Mia","Usability","Dashboard load time is too slow","Impacts daily workflow and causes user confusion. User angry.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","temp fixed then back","Page should respond within acceptable wait time.","watching","H"
"XQ0013","2026/02/17 14:37","Mia","Reporting","Search result order changes unexpectedly","Observed by QA during routine regression checks. Not sure why.","Change date range, export report, reopen page, and compare total counts.","screenshot none","Page should respond within acceptable wait time.","backlog maybe","M"
"XQ0014","2025/09/19 10:43","Charlotte","Mobile","Save button confirms but data is not persisted","Reproduced by multiple team members in separate sessions. Looks odd.","Change date range, export report, reopen page, and compare total counts.","check later","Updated values should remain consistent after refresh.","open","H"
"XQ0015","24.02.2026 09:13","James","Checkout","Exported file contains stale values","Reproduced by multiple team members in separate sessions. Not sure why.","Apply filter, open first result, modify title, return to list, and inspect row data.","maybe old data","Page should respond within acceptable wait time.","backlog maybe","M"
"XQ0016","2026/01/24 16:01","Charlotte","Search","History item missing after update","Impacts daily workflow and causes user confusion. Not sure why.","Apply filter, open first result, modify title, return to list, and inspect row data.","screenshot none","Displayed totals should match exported totals.","???","M"
"XQ0017","10-10-2025 11:25 AM","Mason","Latency","Notification appears for wrong recipient","Reported by support after user complaints. Again happened.","Apply filter, open first result, modify title, return to list, and inspect row data.","cannot repro always","Updated values should remain consistent after refresh.","open","H"
"XQ0018","29.10.2025 04:05","Ava","Permissions","History item missing after update","Reproduced by multiple team members in separate sessions. Not sure why.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","maybe old data","Displayed totals should match exported totals.","backlog maybe","L"
"XQ0019","01-29-2026 12:22 PM","Chloe","Latency","Notification appears for wrong recipient","Reproduced by multiple team members in separate sessions. Looks odd.","Create a new item, add note, submit, refresh browser, and verify recent activity.","check later","Users should only access data within granted permissions.","new","M"
"XQ0020","2025/10/18 06:13","Mason","Security","Search result order changes unexpectedly","Reported by support after user complaints. Again happened.","Apply filter, open first result, modify title, return to list, and inspect row data.","screenshot none","Confirmation message should reflect successful persistence.","open","M"
"XQ0021","2026/02/20 08:32","Olivia","Security","Profile updates are not reflected immediately","Reproduced by multiple team members in separate sessions. Not sure why.","Apply filter, open first result, modify title, return to list, and inspect row data.","temp fixed then back","Updated values should remain consistent after refresh.","backlog maybe","M"
