"issue id","create time","who create","kind of trouble","issue name","description","how to repro","note","expectation","statuz","prio lvl"
"Q-0001","2025-09-12 21:17","Isabella","Permissions","Search result order changes unexpectedly","Occurs intermittently but with similar interaction pattern. Occurs intermittently but with similar interaction pattern.","Change date range, export report, reopen page, and compare total counts.","need more check","Displayed totals should match exported totals.","new","urgent"
"Q-0002","09/24/2025 11:17 PM","Elijah","Usability","Profile updates are not reflected immediately","Observed by QA during routine regression checks. Reproduced by multiple team members in separate sessions.","Apply filter, open first result, modify title, return to list, and inspect row data.","seen twice this week","Confirmation message should reflect successful persistence.","new","low"
"Q-0003","2025-12-31 05:10","Chloe","Feature","Profile updates are not reflected immediately","Reproduced by multiple team members in separate sessions. Reported by support after user complaints.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","seen twice this week","Displayed totals should match exported totals.","new","urgent"
"Q-0004","2025-10-31 12:56","Ava","Upload","Notification appears for wrong recipient","Reported by support after user complaints. Reported by support after user complaints.","Change date range, export report, reopen page, and compare total counts.","customer raised this","Updated values should remain consistent after refresh.","new","low"
"Q-0005","01/03/2026 7:15 PM","Noah","Feature","Exported file contains stale values","Reported by support after user complaints. Occurs intermittently but with similar interaction pattern.","Create a new item, add note, submit, refresh browser, and verify recent activity.","maybe cache issue","Updated values should remain consistent after refresh.","open","urgent"
"Q-0006","01/15/2026 1:18 PM","Jack","Upload","Search result order changes unexpectedly","Reproduced by multiple team members in separate sessions. Impacts daily workflow and causes user confusion.","Change date range, export report, reopen page, and compare total counts.","seen twice this week","Confirmation message should reflect successful persistence.","new","normal"
"Q-0007","20-Oct-2025 16:10","Mason","Accuracy","Incorrect assignee shown on issue detail","Reproduced by multiple team members in separate sessions. Impacts daily workflow and causes user confusion.","Create a new item, add note, submit, refresh browser, and verify recent activity.","need more check","Users should only access data within granted permissions.","new","high"
"Q-0008","12-Nov-2025 12:53","Amelia","Security","Unauthorized user can view restricted details","Reproduced by multiple team members in separate sessions. Observed by QA during routine regression checks.","Create a new item, add note, submit, refresh browser, and verify recent activity.","need more check","Updated values should remain consistent after refresh.","retest","low"
"Q-0009","09/13/2025 12:08 PM","Liam","Upload","Weekly totals are inconsistent after refresh","Impacts daily workflow and causes user confusion. Reproduced by multiple team members in separate sessions.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","maybe cache issue","Displayed totals should match exported totals.","retest","low"
"Q-0010","2025-11-03 03:35","Olivia","Upload","Profile updates are not reflected immediately","Reported by support after user complaints. Occurs intermittently but with similar interaction pattern.","Create a new item, add note, submit, refresh browser, and verify recent activity.","seen twice this week","Users should only access data within granted permissions.","retest","low"
"Q-0011","11/30/2025 11:14 PM","Elijah","Profile","Incorrect assignee shown on issue detail","Impacts daily workflow and causes user confusion. Observed by QA during routine regression checks.","Create a new item, add note, submit, refresh browser, and verify recent activity.","customer raised this","Users should only access data within granted permissions.","new","normal"
"Q-0012","10/28/2025 12:56 AM","Lucas","Upload","Save button confirms but data is not persisted","Occurs intermittently but with similar interaction pattern. Impacts daily workflow and causes user confusion.","Create a new item, add note, submit, refresh browser, and verify recent activity.","maybe cache issue","Displayed totals should match exported totals.","need check","high"
"Q-0013","11-Dec-2025 15:25","Charlotte","Accuracy","Save button confirms but data is not persisted","Observed by QA during routine regression checks. Reported by support after user complaints.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","maybe cache issue","Updated values should remain consistent after refresh.","retest","urgent"
"Q-0014","02/03/2026 4:47 AM","Elijah","Dashboard","Dashboard load time is too slow","Impacts daily workflow and causes user confusion. Occurs intermittently but with similar interaction pattern.","Apply filter, open first result, modify title, return to list, and inspect row data.","need more check","Updated values should remain consistent after refresh.","need check","low"
"Q-0015","2025-09-28 23:09","Olivia","Dashboard","Notification appears for wrong recipient","Reproduced by multiple team members in separate sessions. Observed by QA during routine regression checks.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","need more check","Users should only access data within granted permissions.","retest","normal"
"Q-0016","11/29/2025 12:51 AM","Mia","Feature","Save button confirms but data is not persisted","Reproduced by multiple team members in separate sessions. Occurs intermittently but with similar interaction pattern.","Change date range, export report, reopen page, and compare total counts.","seen twice this week","Displayed totals should match exported totals.","retest","low"
"Q-0017","02/07/2026 4:03 PM","Elijah","Export","Search result order changes unexpectedly","Impacts daily workflow and causes user confusion. Impacts daily workflow and causes user confusion.","Apply filter, open first result, modify title, return to list, and inspect row data.","need more check","Users should only access data within granted permissions.","new","normal"
"Q-0018","2025-11-06 18:47","Isabella","Notifications","Incorrect assignee shown on issue detail","Occurs intermittently but with similar interaction pattern. Reproduced by multiple team members in separate sessions.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","need more check","Users should only access data within granted permissions.","retest","low"
"Q-0019","2025-10-02 19:22","Chloe","Security","Unauthorized user can view restricted details","Reproduced by multiple team members in separate sessions. Impacts daily workflow and causes user confusion.","Create a new item, add note, submit, refresh browser, and verify recent activity.","customer raised this","Updated values should remain consistent after refresh.","retest","high"
"Q-0020","02/08/2026 4:29 AM","Mia","Export","History item missing after update","Occurs intermittently but with similar interaction pattern. Impacts daily workflow and causes user confusion.","Apply filter, open first result, modify title, return to list, and inspect row data.","customer raised this","Displayed totals should match exported totals.","need check","normal"
"Q-0021","2025-11-18 13:45","Chloe","Permissions","Save button confirms but data is not persisted","Impacts daily workflow and causes user confusion. Occurs intermittently but with similar interaction pattern.","Change date range, export report, reopen page, and compare total counts.","need more check","Page should respond within acceptable wait time.","open","high"
"Q-0022","17-Jan-2026 16:32","Elijah","Feature","History item missing after update","Observed by QA during routine regression checks. Impacts daily workflow and causes user confusion.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","need more check","Users should only access data within granted permissions.","new","normal"
"Q-0023","12/03/2025 6:54 AM","Mia","Export","Weekly totals are inconsistent after refresh","Reported by support after user complaints. Reported by support after user complaints.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","need more check","Displayed totals should match exported totals.","new","normal"
"Q-0024","09/20/2025 1:49 AM","Olivia","Accuracy","Dashboard load time is too slow","Observed by QA during routine regression checks. Observed by QA during routine regression checks.","Create a new item, add note, submit, refresh browser, and verify recent activity.","customer raised this","Page should respond within acceptable wait time.","new","high"
"Q-0025","01/20/2026 2:24 PM","Benjamin","Export","Save button confirms but data is not persisted","Occurs intermittently but with similar interaction pattern. Observed by QA during routine regression checks.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","seen twice this week","Displayed totals should match exported totals.","new","low"
"Q-0026","2026-02-09 20:37","Henry","Search","Exported file contains stale values","Reported by support after user complaints. Observed by QA during routine regression checks.","Create a new item, add note, submit, refresh browser, and verify recent activity.","maybe cache issue","Confirmation message should reflect successful persistence.","need check","normal"
"Q-0027","20-Dec-2025 14:10","Harper","Latency","History item missing after update","Occurs intermittently but with similar interaction pattern. Reported by support after user complaints.","Create a new item, add note, submit, refresh browser, and verify recent activity.","seen twice this week","Updated values should remain consistent after refresh.","retest","urgent"
"Q-0028","09/15/2025 11:34 AM","Olivia","Profile","Incorrect assignee shown on issue detail","Impacts daily workflow and causes user confusion. Reported by support after user complaints.","Change date range, export report, reopen page, and compare total counts.","seen twice this week","Updated values should remain consistent after refresh.","retest","low"
"Q-0029","27-Oct-2025 02:42","Jack","Accuracy","Notification appears for wrong recipient","Observed by QA during routine regression checks. Reproduced by multiple team members in separate sessions.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","need more check","Users should only access data within granted permissions.","open","high"
"Q-0030","24-Sep-2025 02:32","Amelia","Upload","Exported file contains stale values","Reproduced by multiple team members in separate sessions. Observed by QA during routine regression checks.","Create a new item, add note, submit, refresh browser, and verify recent activity.","customer raised this","Confirmation message should reflect successful persistence.","open","normal"
"Q-0031","09/10/2025 1:20 AM","Harper","Accuracy","Incorrect assignee shown on issue detail","Impacts daily workflow and causes user confusion. Observed by QA during routine regression checks.","Create a new item, add note, submit, refresh browser, and verify recent activity.","seen twice this week","Confirmation message should reflect successful persistence.","open","low"
"Q-0032","2025-10-26 13:33","Mia","Mobile","Notification appears for wrong recipient","Reported by support after user complaints. Observed by QA during routine regression checks.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","need more check","Confirmation message should reflect successful persistence.","new","urgent"
"Q-0033","2026-02-17 20:51","Olivia","Notifications","Unauthorized user can view restricted details","Occurs intermittently but with similar interaction pattern. Observed by QA during routine regression checks.","Apply filter, open first result, modify title, return to list, and inspect row data.","maybe cache issue","Updated values should remain consistent after refresh.","open","high"
"Q-0034","2025-09-24 12:26","Sophia","Search","Save button confirms but data is not persisted","Occurs intermittently but with similar interaction pattern. Reproduced by multiple team members in separate sessions.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","need more check","Page should respond within acceptable wait time.","open","high"
"Q-0035","12/24/2025 5:50 PM","Benjamin","Reporting","History item missing after update","Reproduced by multiple team members in separate sessions. Impacts daily workflow and causes user confusion.","Create a new item, add note, submit, refresh browser, and verify recent activity.","need more check","Users should only access data within granted permissions.","new","normal"
"Q-0036","2026-01-15 23:38","Lucas","Checkout","Save button confirms but data is not persisted","Impacts daily workflow and causes user confusion. Reported by support after user complaints.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","maybe cache issue","Displayed totals should match exported totals.","new","low"
"Q-0037","2025-11-06 00:57","Lucas","Dashboard","Exported file contains stale values","Reproduced by multiple team members in separate sessions. Impacts daily workflow and causes user confusion.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","maybe cache issue","Confirmation message should reflect successful persistence.","open","high"
"Q-0038","2025-11-05 22:02","Jack","Accuracy","Dashboard load time is too slow","Occurs intermittently but with similar interaction pattern. Occurs intermittently but with similar interaction pattern.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","maybe cache issue","Displayed totals should match exported totals.","new","urgent"
"Q-0039","2025-09-23 05:25","Chloe","Usability","Dashboard load time is too slow","Reproduced by multiple team members in separate sessions. Reported by support after user complaints.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","need more check","Page should respond within acceptable wait time.","open","low"
"Q-0040","25-Jan-2026 03:47","Isabella","Upload","History item missing after update","Reproduced by multiple team members in separate sessions. Observed by QA during routine regression checks.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","need more check","Confirmation message should reflect successful persistence.","need check","high"
