"issue_id","created_at","created_by","category","issue_title","issue_description","reproduction_steps","notes","expected_result","status","priority"
"QA-0001","2026-02-14 03:47:34","Lucas","Reporting","Incorrect assignee shown on issue detail","Occurs intermittently but with similar interaction pattern. Occurs intermittently but with similar interaction pattern.","Apply filter, open first result, modify title, return to list, and inspect row data.","Additional logs available upon request.","Users should only access data within granted permissions.","In Review","High"
"QA-0002","2025-09-26 21:27:34","Isabella","Permissions","Search result order changes unexpectedly","Reproduced by multiple team members in separate sessions. Impacts daily workflow and causes user confusion.","Change date range, export report, reopen page, and compare total counts.","Additional logs available upon request.","Updated values should remain consistent after refresh.","Retest","High"
"QA-0003","2026-01-20 13:03:34","Emma","Dashboard","Weekly totals are inconsistent after refresh","Impacts daily workflow and causes user confusion. Reproduced by multiple team members in separate sessions.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","Additional logs available upon request.","Displayed totals should match exported totals.","Blocked","Critical"
"QA-0004","2025-09-05 09:50:34","Mason","Notifications","Unauthorized user can view restricted details","Reported by support after user complaints. Impacts daily workflow and causes user confusion.","Create a new item, add note, submit, refresh browser, and verify recent activity.","Additional logs available upon request.","Users should only access data within granted permissions.","Open","Medium"
"QA-0005","2026-02-23 07:32:34","Chloe","Latency","History item missing after update","Reproduced by multiple team members in separate sessions. Reported by support after user complaints.","Apply filter, open first result, modify title, return to list, and inspect row data.","Additional logs available upon request.","Confirmation message should reflect successful persistence.","Blocked","Medium"
"QA-0006","2026-01-13 22:21:34","Evelyn","Profile","History item missing after update","Reproduced by multiple team members in separate sessions. Observed by QA during routine regression checks.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","Additional logs available upon request.","Page should respond within acceptable wait time.","New","Medium"
"QA-0007","2025-11-17 10:22:34","James","Checkout","Search result order changes unexpectedly","Reproduced by multiple team members in separate sessions. Reported by support after user complaints.","Apply filter, open first result, modify title, return to list, and inspect row data.","Additional logs available upon request.","Displayed totals should match exported totals.","New","Critical"
"QA-0008","2026-01-27 04:44:34","Liam","Security","Save button confirms but data is not persisted","Reproduced by multiple team members in separate sessions. Reproduced by multiple team members in separate sessions.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","Additional logs available upon request.","Confirmation message should reflect successful persistence.","In Review","Critical"
"QA-0009","2025-10-08 07:46:34","Isabella","Permissions","History item missing after update","Occurs intermittently but with similar interaction pattern. Impacts daily workflow and causes user confusion.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","Additional logs available upon request.","Displayed totals should match exported totals.","Blocked","Medium"
"QA-0010","2025-11-28 08:10:34","Henry","Permissions","Unauthorized user can view restricted details","Occurs intermittently but with similar interaction pattern. Reproduced by multiple team members in separate sessions.","Change date range, export report, reopen page, and compare total counts.","Additional logs available upon request.","Updated values should remain consistent after refresh.","In Review","Critical"
"QA-0011","2025-11-23 04:10:34","Harper","Permissions","Notification appears for wrong recipient","Observed by QA during routine regression checks. Reported by support after user complaints.","Create a new item, add note, submit, refresh browser, and verify recent activity.","Additional logs available upon request.","Displayed totals should match exported totals.","Open","Medium"
"QA-0012","2025-09-09 07:19:34","Mia","Dashboard","Incorrect assignee shown on issue detail","Reported by support after user complaints. Occurs intermittently but with similar interaction pattern.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","Additional logs available upon request.","Page should respond within acceptable wait time.","In Review","Critical"
"QA-0013","2025-11-20 10:40:34","Elijah","Upload","Search result order changes unexpectedly","Reproduced by multiple team members in separate sessions. Observed by QA during routine regression checks.","Create a new item, add note, submit, refresh browser, and verify recent activity.","Additional logs available upon request.","Displayed totals should match exported totals.","Retest","Medium"
"QA-0014","2025-09-03 06:46:34","Jack","Feature","Profile updates are not reflected immediately","Reported by support after user complaints. Observed by QA during routine regression checks.","Create a new item, add note, submit, refresh browser, and verify recent activity.","Additional logs available upon request.","Confirmation message should reflect successful persistence.","In Review","Low"
"QA-0015","2025-11-03 15:18:34","Liam","Security","Search result order changes unexpectedly","Observed by QA during routine regression checks. Impacts daily workflow and causes user confusion.","Create a new item, add note, submit, refresh browser, and verify recent activity.","Additional logs available upon request.","Displayed totals should match exported totals.","Retest","High"
"QA-0016","2025-11-13 04:18:34","Isabella","Dashboard","Profile updates are not reflected immediately","Impacts daily workflow and causes user confusion. Impacts daily workflow and causes user confusion.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","Additional logs available upon request.","Updated values should remain consistent after refresh.","New","Critical"
